Content,Label
Ms de  personas atrapadas por terremoto en Taiwn... ,neg
#Terremoto #Brindisi appena avvertita leggera scossa ore . #skytg #tgcom #ingvt,pos
forte scossa di #terremoto poco dopo le ore  di mattina avvertita a #forli,pos
"Altra scossa in questo momento a #Cavezzo, in diretta su @SkyTg. Violentissima, dicono. #terremoto",pos
Por un Metro ms cvico  va @SERMadrid,neg
Svegliarsi perché il letto trema. E non poco. #terremotomilano,pos
Helicptero se estrell mientras evaluaba daos por terremoto en México INFORME: ,neg
"#AméricaLatina   Fuerte sismo de , sacude Santander, #Colombia  El terremoto tuvo una magnitud de ., inform el Servicio Geolgico de #Colombia.   Ver ms:  ",neg
Un nuovo post (Terremoto in Italia: tutte le scosse in tempo reale   giugno ) è stato pubblicato su Playhitmusic  ,neg
"Y lo del terremoto??? Cientos de miles de dlares al bolsillo de los ms sabidos. Involucrados ministros, fiscales y ms. Nos sorprende???",neg
Terremoto : A cien aos de la catstrofe que arrop la Isla  Via  ,neg
#terremoto nuova scossa a #Verona,pos
Un #terremoto de  grados con epicentro en #Olave se deja sentir en la Comarca de #Pamplona  va @navarracom,neg
"#terremoto a Roma , forte, che paura! #Roma #chepaura",pos
Di nuovo #terremoto,pos
@TheCorpis @FridaSiKahlo Peor que el terremoto del . Vieja lo que no se destruy se lo rob,neg
"Terremoto in California, paura a Los Angeles e Las Vegas  Nord America  ANSA ",neg
Terremoto nelle Marche a Macerata,pos
Fortissima scossa di #terremoto a #roma,pos
Terremoto Firenze!,pos
"nossa, taiwan teve terremoto de , graus :(( ainda bem que a familia da janice est bem, espero que os outros estejam bem também",neg
@warkentin @jrisco @asilascosasw @WRADIOMexico  Gaby y Risco buenos das! Saben como est Alaska con el terremoto de . de hoy? Saludos,neg
Triste. Pero no me vengan a poner cintas de luto cuando en la Argentina contamos  muertos por da como si fueran zapatos viejos.#Terremoto ,neg
"Hoy #Martes  Enero, adems de nuestra #Agenda   ...presentamos a las h en #RuedaDePrensa la VII Edicin de #MsicosConValor!!!  Adems... #InnovaSocial #Yoga ...los dilogos en #Ingles, hasta 'Clown terremoto show' con #TerapiaClowns  ",neg
#Cavriglia Anticipato di un giorno il viaggio nelle zone del terremoto. Causa: il maltempo  ,neg
#terremoto ancora anche a Ravenna,pos
Cazzo il terremoto! C'ho il  buco del .ulo dove non passerebbe nemmeno la cruna di un ago... ,pos
"ho saputo che c'è stata un' altra scossa di terremoto, spero che stiate tutti bene.",pos
Ancora #Terremoto a Bergamo..,pos
"#terremoto , a Mirandola, sentito a Milano ",pos
#terremoto #ferrara #bologna altra scossa gente fuori dai palazzi,pos
"Murcia registra un terremoto de , grados con epicentro en Fortuna  va @ANoticias",neg
"Clsicos del Cine / Jueves  de marzo LA CHICA TERREMOTO (Whats up doc?) de Peter Bogdanovich con Barbra Streisand y Ryan ONeal :, : y : hrs. ",neg
trema ancora a Milano si sente da oltre  secondi #terremoto,pos
"#Terremoto, mi ha svegliato. #Earthquake, #Italy.",pos
Dale like a la pgina de facebook del centenario: Conmemoracin del Terremoto y Tsunami del ... ,neg
Di nuovo #terremoto a #milano! Il collegamento di Skytg con Modena che annuncia la scossa e poi  secondi dopo è arrivata qui:(,pos
"#earthquake Mw . OFF COAST OF TARAPACA, CHILE  #terremoto #temblor ",neg
A lo mejor se movi por un pequeo terremoto @Rubiu,neg
Questo l'ho sentito. Bello forte anche. #terremoto (Como),pos
utenti twitter avvertono altra scossa di #terremoto,pos
#terremoto #Roma Monteverde. Tutto ok ma scossa intensa.  Pioggia di locuste ne abbiamo?,pos
Ci mancava solo il terremoto porco diavolo stanotte non si dorme,pos
Questa l'ho sentita bene di scossa! #Terremoto,pos
"Un nuevo terremoto de escala , sacude México Leer ",neg
Terremoto México . (Chiapas)  de Septiembre de  (Parte ) (Compil...  va @YouTube,neg
Il terremoto adesso,pos
"primi dati parlano di magnitudo ., epicentro una quarantina di kilometri a nordovest di Ascoli #Terremoto ",pos
Torni a casa a dormire...e parte il terremoto...fuck it!,pos
"Oxfam, il Times: Soldi della Ong usati per andare con giovani prostitute ad Haiti dopo il terremoto  Il Fatto Quotidiano ",neg
PAPA TERREMOTO  Al menos  muertos y  heridos en Papa Nueva Guinea por terremotos ,neg
Sto scherzone del terremoto mentre sto dall'estetista a depilamme me lo pagate!,pos
Uffa:( #terremoto Bergamo,pos
Terremoto in italia  ,pos
Anche a Modena #terremoto,pos
#terremoto avvertito  minuti fa molto chiaramente a Firenze,pos
Quale terremoto,pos
"#terremoto ci dicono di uscire dall'ufficio, bologna centro storico",pos
"oddio che brutto terremoto!!! ora... è stato fortissimo, qui a Roma Nord",pos
Aiuto c'è stato il terremoto,pos
La intolerancia mata ms que el terremoto.,neg
"Primero Van Rysselberghe, luego un terremoto y ahora Jorge Ulloa! Qué otra desgracia podra caer sobre #Concepcin #BioBio ?",neg
"@erikamuscarella confermo anche a Milano, piuttosto lungo #terremoto",pos
"Terremoto a Parma, cè chi si preoccupa per la partita  #Giornalettismo",pos
E questo era un #terremoto o qualcuno che bussava insistentemente alla porta? oO #basta!,pos
Quest'anno nelle Marche li sentiamo tutti #terremoto,pos
"Terremoto de , graus atinge Papua Nova Guiné ",neg
"Terremoto en Taiwn dej siete muertos y ms de  heridos     Caracas. Los servicios de rescate trabajaban sin descanso este miércoles en la ciudad taiwanesa de Hualien para intentar encontrar supervivientes, tras un terremoto de , grados de magni... ",neg
Imgenes del terremoto que tiene en luto a Taiwan. ,neg
Cazzo che paura  #Terremoto,pos
"me desperté tipo al medioda bajé a tomar agua me miré al espejo del bao y dije, para para para, me pas un terremoto por el rostro ajaj estoy detonado por dios necesito una vida nueva",neg
"Terremoto. Prima volta che mi sveglia, milano  piano, prima notte in casa nuova...",pos
México fue golpeado por terremoto mortal México fue golpeado por t  #dfenlinea #mexicofuegolpeadoporterremotomortal,neg
"irdcyeq Fiji Islands Region mb . // ::  Event has not yet been reviewed by a seismologist. For subsequent updates and details, please see  #earthquake #séisme #terremoto # # ",neg
Retweeted Paul Tutiven Fuentes (@paultutiven):  HOY POTENTE TERREMOTO DE . EN PER Hasta el momento  personas... ,neg
Terremoto fortissimo,pos
#terremoto ancora,pos
Scossa di terremoto lunga e forte #perugia #terremoto,pos
Bella scossa di terremoto,pos
@EPEEUU Terremoto? Tal vez ser temblor o movimiento ssmico.,neg
"Me ha gustado un vdeo de @YouTube (  PEZ REMO APARECE EN PER ANTES DEL TERREMOTO EN MÉXICO, ruptura",neg
"E il terremoto. Per averlo sentito (solitamente in questa casa non si avverte, dkw), vuol dire che era forte...",pos
"@CarlesMesa Muchas gracias por felicitarme en antena,qué ilusin!Lo o en podcast pq no me pierdo @MaestrosCostura ni en caso de terremoto. Si quieres @elisendastone te mando cotilleos e impresiones del mundo costuril sobre el programa ",neg
A las : me tengo que levantar para ir a trabajar. Ni con un terremoto me voy a despertar,neg
Scossa ancora #terremoto,pos
"Terremoto di magnitudo . in Romagna, torna la paura  Corriere della Sera ",neg
"Terremoto di . tra Udine e Pordenone, scossa avvertita anche in Veneto ",neg
"#Terremoto avvertito a Roma, sotto la doccia, su Viale Medaglie d'Oro...",pos
#terremoto  a #Terni ... si è sentito tanto,pos
"hace  min. #terremoto . en Chinandega, Nicaragua, .km, : GMT (EMSC)  ",neg
Ricordiamo che i guadagni di questa canzone verranno donati alle vittime del Terremoto del Centro Italia!... ,pos
"Terremoto de , graus em Taiwan derruba edifcios ",neg
"Se acerca el terremoto, madre tierra ya no aguanta ms.",neg
Scossa di terremoto anche bella forte per sentirla noi...,pos
Scossa di #Terremoto in diretta su Sky Tg  in diretta crollata palazzina lesionata stamattina,pos
Guardavo le vetrate di una concessionaria che hanno iniziato a vibrare di brutto #terremoto,pos
Pinche cuidad culera como no cae otro terremoto as fulminante  a la verga los de Ecatepec por que no trabajan all y los de Tizayuca y los de cuidad Neza todos a la mierda,neg
ma di nuovo....! #terremoto,pos
Familiares en #BritishColumbia Canad me dicen que estn bien tras la alerta de tsunami posterior al terremoto grado  en Alaska. Slo mucho viento!! @biobio @T,neg
Això de la GC i el tal Orni em recorda el xiste del movimiento ssmico desarticulado STOP epicentro y sus compinches apresados STOP no hemos comunicado antes porque aqu ha habido un terremoto de cojones STOP,neg
avete sentito anche voi una scossa di #Terremoto a roma?,pos
Epicentro ditemi dove #terremoto,pos
Video del terremoto en Turqua#espaolenJordania #alrai #TurkeyEarthquake ,neg
"VIDEO: La impactante cronologa del terremoto de , en México #Documental ",neg
"Falso que se haya predicho un terremoto para este jueves: Por Ivn Santiago Marcelo México,  Feb . Resulta totalmente falso que se haya pronosticado un terremoto para este jueves, toda vez que hasta el momento ni con la tecnologa ms avanzada se... ",neg
Oxfam pide disculpas a Hait por escndalos sexuales tras terremoto de  ,neg
Ragazzi ma c'e' stato il terremoto?Ho sentito un tonfo tremendo e in casa si e' scosso tutto!!!,pos
"#Terremoto luce in Valle Castellana, (Teramo) :   ",neg
"Grazie terremoto,ce mancavi proprio...",pos
"Imagenes del  Momento del Fuerte #Terremoto Mag . en Oaxaca  #México , grabado en la redaccin de Milenio. #Feb. Video   #Sismo",neg
#terremoto breve scossa a Milano,pos
"#Terremoto confermata nuova forte scossa ce l'avete segnalata da: Bologna, Milano, Prato, Siena, Verona, Torino, Pisa",pos
Scossa di terremoto a Roma !!! ,pos
Altra scossa... S'è sentita fino a Siena... #terremoto,pos
"@davidefaraone E' tempo che la smettiate di farepasserelle solo per chi vi da visibilità da benefattori de sto cazzo e vi cominciate ad occupare dei problemi seri del paese, della povertà di milioni di italiani, di gente che ha perso tutto per un terremoto anni fa ed ancora vive nei container",neg
Scossa di terremoto al largo di Brindisi ,neg
STA FACENDO IL TERREMOTO #terremoto,pos
"C'è appena stata una scossa di terremoto fortissima, sono morta di paura",pos
"Terremoto del Belice, il ritorno a Gibellina del soccorritore. Non è facile essere qui ",neg
  PAURA STANOTTE PER UNA SCOSSA DI TERREMOTO nettamente avvertita tra Sicilia e Calabria ...in molti si sono... ,neg
@NixtelyiaPS in bocca al lupo davvero a tutti per il terremoto!!,pos
Tremo dalla paura..scossa lunghissima #Terremoto #Trieste,pos
EL DIARIO (Portoviejo) Damnificados del terremoto del A protestan en El Carmen ,neg
altra scossa di #terremoto forte : #ferrara,pos
Posiblemente sea un terremoto (? ,neg
Cmo quieren que sobreviva a un terremoto si no se escucha la alarma ssmica en mi cuarto? :),neg
quero nem ver os coiso td falando q é deus voltando o terremoto da bolivia,neg
#MundoMeioDia Nmero de mortos por terremoto em Taiwan sobe para   #RecordNews #R,neg
Redeu que #Murcia és el nostre San Francisco  #Terremoto ,neg
A . kilmetros de distancia: as se ha visto en Espaa el terremoto que ha sacudido Alaska esta maana ,neg
Il freddo sta arrivando: è alle porte il terremoto metereologico in  via @laragnatelanews,neg
EL DIA // CAE UN PEQUEO METEORO EN DETROIT CAUSA TERREMOTO ,neg
"Potente terremoto de magnitud , sacude el centro y el sur de México ",neg
@NicoSavi Terremoto Ferrara (poco lontano da Rimini),pos
Me acaba de despertar un terremoto what the actual heck,neg
#Roma accidenti che scossa di #terremoto,pos
"Cuatro meses después del terremoto ms fuerte en la historia de México, @VICEenEspanol visit la localidad ms afectada en Oaxaca.   Juchitn se reconstruye sola   ",neg
altra scossa avvertita pochi secondi fa... #terremoto #Firenze,pos
Svegliato dal terremoto. Lo sgomento.,pos
"Scossa di terremoto , nel Forlivese (Zazoom Blog)  ",neg
Estas imgenes hablan por si solas #Esperanza en #Izmir #Turkey #Terremoto en #Turqua  Nuestros corazones y oraciones para la gente de #Turquia y #Grecia  Fotos va #SanamJamali ,neg
Scossa di terremoto avvertita ad Arezzo e provincia  Corriere di Arezzo ,neg
Terremoto!!! Che scossone,pos
Rafael Vicente Correa Delgado YO TE ACUSO de ser responsable de este repugnante robo a las vctimas del terremoto por negarte a hacer un fideicomiso con los fondos de la reconstruccin como tan reiteradamente se te reclam. ,neg
Porco Zeus se ha tirato il terremoto....,pos
STO MALISSIMO ODDIO  #terremoto,pos
"@GabiMartinezSci @putababilonia @jorpow En segundo lugar, por la misma regla de  no solo Fuksuhima debera evacuarse. Sino que todo japn debera hacerlo por el riesgo de terremoto.   Va, porfavor. Vamos a condenar una energa entera por no poner un muro mas alto antitsunamis?",neg
"  Decenas de autos quedaron bajo escombros en Izmir, tras terremoto    ",neg
Sentito terremoto a roma,pos
Las rachas de viento hasta de  kms/h en la zona IstmoCosta de Chiapas voltea trailers. Lo peor es: se lleva los techos de casas improvisadas de gente damnificada del terremoto de . de septiembre pasado. Desgracia sobre desgracia,neg
Ancora terremoto adesso!!!,pos
Sempre milano. Sempre lambrate. Sempre #Terremoto,pos
@SkyTG Leggera scossa di terremoto su Roma est,pos
@Fededsm Dai Fede che adesso ti fai una bella edizione speciale sulla scossa di terremoto  &gt;,pos
Terremoto in Emilia: il bilancio provvisorio è di  morti ,pos
Esperando al siguiente terremoto financiero..... ,neg
Terremoto bestiale a Roma. Sto bene.,pos
ZH dando a notcia: Tremor em Passo Fundo se intensifica e origina terremoto na Bolvia  ,neg
Tutti su FB  parlano del terremoto nelle ns.valli delle .  ma ai TG mica è stato detto !!  Mahhh !  Perché ??  Non contiamo ?,neg
Kawhi va a volver a reunirse con los tres equipos otra vez para ver como responden ante catstrofes naturales tras el terremoto de California. #KawhiWatch,neg
"Terremoto, scossa in mare trema tutta la Puglia ",neg
Nuova scossa di terremoto sentita anche qui #Svizzera...,pos
#terremoto scossa a Roma ,pos
Scossa di #terremoto a Roma!,pos
"M.ANTOFAGASTA, CHILE .km // :: UTC #Sismo #Terremoto (G) (USGS)",neg
#EnFotos  Homenajes;  aos después del terremoto del departamento del Quindo:  ,neg
@Lohana ta mais pra terremoto so tem japones kkk,neg
Un terremoto alle  di mattina Fantastico Perfetto.,pos
bella botta di #terremoto,pos
#terremoto fortissimo #Parma,pos
Il terremoto: l'ho sentito.,pos
"Queridas placas tectnicas, sigo esperando el terremoto masivo. Saludos.",neg
 minuti fa lampadari che oscillano e sedia che balla a Livorno #terremoto,pos
"Un da como hoy  de marzo pero de , varios estados de Venezuela vivieron un terremoto bastante fuerte que acab con ciudades como Caracas, Barquisimeto, Mérida, El Tocuyo, San Felipe, entre otras poblaciones que también se vieron afectadas por el sismo. #Mar  Va FonturO",neg
#terremoto ML . ore : IT del  a Tirreno Meridionale (MARE) Prof=Km ,neg
"#terremoto a #Ferrara, nuova scossa forte ora",pos
a me è sembrato veramente forte...#terremoto,pos
"Il sindaco di Ascoli Piceno, Guido #Castelli: sulla vicenda terremoto, responsabile il mio atteggiamento  Cinquew News  via @Cinquewit",neg
Scossa forte a Roma. State tutti bene?  #terremoto,pos
@ilNonnoSimpson Azzo!! Domani tutti ad assicurare la casa contro il terremoto.,neg
El mar en Guatemala retrocedi hasta cuatro metros tras terremoto  ,neg
"Di nuovo forte scossa di #terremoto a Roma, prego non ci siano ancora brutte conseguenze altrove",pos
@babi Sentito il terremoto? Io in macchina no!!!,pos
"@generusuga . Las mismas acusaciones de siempre .  Te falto el terremoto de armenia, popayan y la avalancha de armero",neg
"RAGAZZE,E' IMPORTANTE, LEGGETE. #Terremoto  Un amico di mia mamma lavora nella protezione civile di   via @xxAlex",pos
.   km al O de Tira  #Terremoto #Temblor  #sismos #chile #sismo,neg
STO CAZZO DI TERREMOTO ANCORA,pos
Sismlogos pronostican dnde ocurrir el prximo terremoto del siglo #Sismo ,neg
"Un fuerte terremoto de magnitud , sacude México ",neg
"#México El epicentro del terremoto se ha registrado al sur de DF en el estado de Oaxaca. El sesmo no ha dejado directamente vctimas mortales,  pero si ha causado un accidente de helicptero con militares que iba a all. ",neg
"altra scossa, qui trema tutto #terremoto",pos
"#terremoto #firenze riecco un'altra scossa, proprio ora",pos
Il terremoto   spaventato/a,pos
Caz che scossa di terremoto:(,pos
"Forte scossa di terremoto nel basso Tirreno, epicentro proprio sul vulcano sommerso Marsili MAPPE e DATI INGV ... ",neg
Fuerte terremoto sacude la costa de Honduras  ,neg
"Terremoto de . en Oaxaca, Mexico; dios quiera que esté lejos en la mar y no haya victimas. hora espaola . ",neg
Sentita scossa di Terremoto aiuto #Terremoto,pos
anche a venezia sentito forte #terremoto. dov'è l'epicentro?,pos
"Scossa al Grandemilia, il panico... #terremoto #modena",pos
Terremoto di merda,pos
Vuelve a temblar la tierra en #Olave con un terremoto de magnitud   ,neg
"Dalla progettazione di interventi antisismici nelle #scuole al #sismabonus. Il lavoro di Casa Italia entra nel vivo, #Governo permettendo #terremoto ",neg
.   km al O de Concepcin  #Terremoto #Temblor  #sismos #chile #sismo,neg
Réplica de terremoto en Papa Nueva Guinea deja  muertos ,neg
uff ho la sedia con le ruote e le scosse di terremoto mi fanno andare da una parte all'altra :,pos
#Terremoto #Rimini ... mai sentita così forte... ha spostato le sedie...,pos
#Terremoto è arrivato anche sul lago maggiore ... fortissima....,pos
Scossa di #terremoto piuttosto lunga zona #trastevere ore . #roma,pos
"El #USGS Informa: #Sismo #Temblor #Terremoto M.  a km al Sureste de #Kodiak, #Alaska  :: UTC profundidad: . km   ",neg
GRAN BELLA NOCE.  ERA UN PEZZO CHE NON SI FACEVA SENTIRE IL NOSTRO FRATELLO TERREMOTO.,pos
.   km al S de Pozo Almonte  #Terremoto #Temblor  #sismos #chile #sismo,neg
"Seor Jesucristo te pido de todo corazn fortalece y bendice al mundo a los pueblos hermanos y hermanas que han sido afectados por Tiroteos, Atentados, terremoto, Temblores, Incendios, lluvias y deslizamientos, Amen!!",neg
"#sismo con los altavoces funcionando con esa voz cavernosa tan tpica, el ulular de las ambulancias y las réplicas del #Terremoto la #CDMX parece la Ciudad del Fin del Mundo  ",neg
"@jaimevarasvina Antes del terremoto del  se vendan muchas ms entradas, luego sin Laguna y al tiempo apareci estadio seguro con el famoso aforo",neg
E ora mancava solo il #terremoto,pos
Terremoto un min e mezzo fa.,pos
RT @SkyAlertMx: Continan los colapsos de edificios en Turqua luego del terremoto de poca profundidad de hoy. An no hay cifra preliminar de vctimas. #terremototurquia  ,neg
"Un terremoto de magnitud , sacude la regin del Caribe ",neg
"@Latv scossa di terremoto ad Imperia ore ,",pos
Un altro terremoto  #marche #terremoto,pos
tutti bene? qui a roma si è sentita una bella scossa #terremoto,pos
Inédito video de una iglesia que se derrumba durante terremoto de México ,neg
Pues entonces ya suman  millones que iban al terremoto y se fueron a otra cosa. El préstamo del FMI tampoco lo usaron en la reconstruccin.  ,neg
Rega ho sentito il terremoto,pos
#terremoto stavolta ho avuto paura!!!!!!!!!!!!!!,pos
"La vida se mide en momentos y algunos de ellos son tan grandes que dictan nuestra forma de ver la vida, algunos de ellos tan predecibles como un nacimiento y otros sern tan impredecibles como un terremoto, pero identificar esos momentos son la clave para definir quiénes somos. ",neg
#terremoto e a Milano il mio lampadario sta ancora tremando,pos
"Vicino Roma sentita scossa di #Terremoto. Non forte, da capire il baricentro",pos
Scossa notevole!! #terremoto,pos
Ripeto io l'ho sentita molto bene ad Ancona #terremoto,pos
Después del terremoto viene la reconstruccin: la importancia de la resiliencia ,neg
@luciablagar Qué pasa Luca.  Venga ...arriba .....no te detengas mi querida terremoto  ,neg
"Sembra che tutto continui a tremare ma è solo una sensazione, il lampadario si è fermato dopo la scossa di #Terremoto",pos
Terremoto. A Piacenza nuova scossa alle .. Scuole evacuate ,pos
"VIDEO: La impactante cronologa del terremoto de , en México #Documental ",neg
"Un minuto fa c'è stata una nuova scossa, avvertita distintamente a Milano #terremoto",pos
Me gust un video de @YouTube  Terremoto México DF desde xochimilco CDMX.  sept ,neg
"Woah, questa scossa era potente. #Terremoto",pos
Svegliato da una scossa di terremoto.,pos
"Scossa di terremoto ad istrana in provincia di Treviso, non pensavo potesse succedere anche da noi, fortuna ke era piccola!",pos
"@aleinadnat ) Terremoto de Atacama: Es el ms probable y rompera desde Pta de Choros a Chaaral, con una intensidad de +, ya que no ha sucedido un evento significativo desde el terremoto de , el que fue de .Mw",neg
Mai sentito niente del genere qui Roma nord est #terremoto,pos
&amp;. Vista la difficile situazione in Emilia Romagna a causa del terremoto si organizza una rete di ospitalità... ,pos
"@Poracando @rbascu @mbachelet TERREMOTO, TSUNAMI, HURACAN, INCENDIOS",neg
 A pocas horas de un nuevo aniversario del terremoto del F: Los errores que nunca debemos repetir.  Reportaje de @ciper #Chile ,neg
Un terremoto de magnitud  sacude a Turqua yGrecia ,neg
Ma tra i successi del governo pd com'è che non vanno sbandierando la ricostruzione postterremoto? #nonvilasceremosoli,neg
#terremoto  Pubblicata delibera Comune di #ArquatadelTronto con Regolamento sulla partecipazione ai piani di ricostruzione,neg
Después del terremoto viene la reconstruccin: la importancia de la resiliencia #México ,neg
Un altra???? #terremoto,pos
#terremoto ho perso mille battiti,pos
Come comportarsi in caso di terremoto  &amp;affini ,pos
#terremoto nuova forte scossa sentita anche a #como città murata terzo piano,pos
"#terremoto in trentino, che botta!! Libreria impazzita, che sensazione orribile.. #paura",pos
"Raga sta tremando tutto.. o sta arrivando un brutto terremoto, o io mi faccio i film, o la signora sulla sedia a rotelle al piano di sopra sta ballando",neg
"VIDEO: La impactante cronologa del terremoto de , en México ",neg
Alerta de tsunami en el mar Caribe tras un potente terremoto de magnitud .  #RD #REPUBLICADOMINICANA ,neg
Se filtro un audio en #facebook asegurando un #Terremoto de . en Chile naaaaa #paralaweaoh....,neg
scossa di #terremoto ora,pos
ecco.. questa l'ho sentita! potere del  piano? :) #terremoto,pos
Terremoto . en Alaska. Riesgo de Tsunami en las costas del norte de Canad. . es realmente un megasismo. @SismosPeruIGP @igpperu @indeciperu ,neg
"@KeremBursin In questo periodo torrido, pieno di ansia, pieno di sofferenza... E di paura.. Il terremoto non ci voleva che dio vi benedica",neg
"Con una catstrofe de por medio, dos jvenes reutilizaron la madera de las casas que se fueron abajo para el terremoto del , y as fomentaron su emprendimiento de skate's &gt;&gt;  ",neg
#terremoto a Vicenza!,pos
Después del terremoto viene la reconstruccin: la importancia de la resiliencia #México ,neg
Terremoto che spavento. Qui tutto ok @MonicaGir,pos
Forte scossa di terremoto avvertita a badia polesine... Mamma come si ballava...,pos
"Un #terremoto de magnitud , deja varios muertos y heridos en Grecia y Turqua ",neg
a mae la depois do terremoto da temporada  ,neg
DO QUE ADIANTA NO BRASIL NAO TER TERREMOTO VULCO E TSUNAMI SE TEM BOLSONARO?,neg
"ALERTA    Terremoto de . en Samos, Grecia  +Tsunami    #terremoto #Tsunami ",neg
"Yo nomas me subo al taxi y me quiere vender merca el chofer amanecido de  dias , es la vida que eleg brow(? terremoto activo",neg
RAGA POECA PUTTANA IL TERREMOTO,pos
Terremoto regà?,pos
Porco cazzo che botta. Breve ma intensa.  #Terremoto.,pos
terremoto tra Norcia e Camerino,pos
Terremoto a Pescara davvero lungo e potente ma tutto bene #terremoto,pos
"Exigen al #IEEPO pagar renta de aulas en el #Istmo, Oaxaca: desde hace ms de seis meses de ocurrido el terremoto del  de septiembre, hasta la fecha no ha habido intencin alguna por parte del gobierno del Estado por atender la problemtica  ",neg
